ID,項目,テスト内容,テスト手順,期待挙動
1,オンボーディング,業種を選択せずに「始める」を押した場合,"1. アプリを開く 2. 業種を選択せず「無料で診断を始める」を押す","エラーメッセージが表示され、診断に進めない"
2,オンボーディング,全項目入力後に診断に進める,"1. 業種を選択 2. 規模を選択 3. AI利用を入力 4. 「無料で診断を始める」を押す","診断画面（Step 2）に遷移する"
3,診断,25問全て回答するとスコアが表示される,"1. 診断ページを開く 2. 25問全てに回答する 3. 「回答を完了する」を押す","成熟度スコア（1.0-5.0）とカテゴリ別スコアが表示される"
4,診断,回答途中でページ遷移しても回答が保持される,"1. 10問回答する 2. サイドバーで別ページに移動 3. 診断ページに戻る","10問目から再開できる（回答がリセットされない）"
5,診断,全問0点で回答した場合のスコア,"1. 25問全てに最低点（0）で回答する","成熟度スコアが1.0付近、28要件全てが「要対応」になる"
6,診断,全問最高点で回答した場合のスコア,"1. 25問全てに最高点（4）で回答する","成熟度スコアが4.0以上、要対応件数が0になる"
7,ダッシュボード,診断前に表示される内容,"1. 初回アクセス後、ダッシュボードを開く","「まだ診断していません」メッセージと「診断を始める」ボタンが表示される"
8,ダッシュボード,診断後にスコアが表示される,"1. 診断を完了する 2. ダッシュボードを開く","成熟度スコア、対応状況（OK/注意/要対応件数）、対応率が表示される"
9,ダッシュボード,「次にやるべきこと」にAutoFixボタンが表示される,"1. 診断を完了する 2. ダッシュボードを開く","上位3件の改善項目それぞれに「この文書を自動生成する」ボタンが表示される"
10,ダッシュボード,個別AutoFixボタンが動作する,"1. ダッシュボードの「この文書を自動生成する」を押す","該当要件の雛形文書が生成され、ボタンが「生成済み」表示に変わる"
11,改善項目,28要件が一覧表示される,"1. 「改善が必要な項目」ページを開く","28要件が充足(緑)/部分(黄)/未充足(赤)で色分けされて表示される"
12,改善項目,「要対応のみ」フィルタが動作する,"1. フィルタを「要対応のみ」に設定する","未充足の要件のみが表示される"
13,改善項目,各要件の詳細が展開できる,"1. 要件をクリックして展開する","問題の説明、改善アクション、必要証拠書類が表示される"
14,改善項目,「対応完了にする」ボタンが動作する,"1. 要件を展開する 2. 「対応完了にする」を押す","該当要件に「対応完了」マークが付き、対応率が更新される"
15,自動修復,「全て修復を開始する」ボタンが動作する,"1. 自動修復ページを開く 2. 「全て修復を開始する」を押す","プログレスバーが表示され、28件の文書が順次生成される"
16,自動修復,全件修復完了後に結果が表示される,"1. 自動修復を実行する","「28/28 修復完了！」メッセージと生成された文書一覧が表示される"
17,自動修復,生成文書のプレビューが表示される,"1. 修復完了後、文書のExpanderを開く","方針書の全文がMarkdownレンダリングで表示される"
